model,accuracy,precision,recall,f1,roc_auc
LogisticRegression_PCA,0.8809523809523809,0.7727272727272727,0.3617021276595745,0.4927536231884058,0.8047204754931518
XGBoost_PCA,0.8707482993197279,0.68,0.3617021276595745,0.4722222222222222,0.7836161598759583
LogisticRegression,0.8605442176870748,0.6153846153846154,0.3404255319148936,0.4383561643835616,0.8115255405289
XGBoost,0.8571428571428571,0.631578947368421,0.2553191489361702,0.36363636363636365,0.7732793522267207
RandomForest,0.8503401360544217,0.6363636363636364,0.14893617021276595,0.2413793103448276,0.8037298647600999
RandomForest_PCA,0.8469387755102041,0.6,0.1276595744680851,0.21052631578947367,0.7501507451115513
