origin,horizon_h,timestamp,predicted_actual,actual,residual
2026-08-24 11:00:00,1,2026-08-24 12:00:00,32.07292671615593,,
2026-08-24 11:00:00,2,2026-08-24 13:00:00,31.895070730639784,,
2026-08-24 11:00:00,3,2026-08-24 14:00:00,31.0718507785567,,
2026-08-24 11:00:00,4,2026-08-24 15:00:00,30.943407391080196,,
2026-08-24 11:00:00,5,2026-08-24 16:00:00,30.255538779405704,,
2026-08-24 11:00:00,6,2026-08-24 17:00:00,29.539908530533307,,
2026-08-24 11:00:00,7,2026-08-24 18:00:00,28.41497261185763,,
2026-08-24 11:00:00,8,2026-08-24 19:00:00,27.882581091740573,,
2026-08-24 11:00:00,9,2026-08-24 20:00:00,27.626556462542037,,
2026-08-24 11:00:00,10,2026-08-24 21:00:00,27.13988848311967,,
2026-08-24 11:00:00,11,2026-08-24 22:00:00,26.788488719095135,,
2026-08-24 11:00:00,12,2026-08-24 23:00:00,26.575559023938453,,
2026-08-24 11:00:00,13,2026-08-25 00:00:00,26.08566428467408,,
2026-08-24 11:00:00,14,2026-08-25 01:00:00,25.956279882352487,,
2026-08-24 11:00:00,15,2026-08-25 02:00:00,25.698542779849802,,
2026-08-24 11:00:00,16,2026-08-25 03:00:00,25.323580116040297,,
2026-08-24 11:00:00,17,2026-08-25 04:00:00,25.07099958165026,,
2026-08-24 11:00:00,18,2026-08-25 05:00:00,24.867435661838044,,
2026-08-24 11:00:00,19,2026-08-25 06:00:00,24.830362030120405,,
2026-08-24 11:00:00,20,2026-08-25 07:00:00,25.77084058534121,,
2026-08-24 11:00:00,21,2026-08-25 08:00:00,27.871449498069776,,
2026-08-24 11:00:00,22,2026-08-25 09:00:00,29.38110219348944,,
2026-08-24 11:00:00,23,2026-08-25 10:00:00,30.558540859669034,,
2026-08-24 11:00:00,24,2026-08-25 11:00:00,31.69235737572141,,
2026-08-24 11:00:00,25,2026-08-25 12:00:00,32.103053954783086,,
2026-08-24 11:00:00,26,2026-08-25 13:00:00,31.823432224364208,,
2026-08-24 11:00:00,27,2026-08-25 14:00:00,30.96382279772082,,
2026-08-24 11:00:00,28,2026-08-25 15:00:00,30.67515963616698,,
2026-08-24 11:00:00,29,2026-08-25 16:00:00,29.951260747239793,,
2026-08-24 11:00:00,30,2026-08-25 17:00:00,29.13269666164304,,
2026-08-24 11:00:00,31,2026-08-25 18:00:00,28.224700298542214,,
2026-08-24 11:00:00,32,2026-08-25 19:00:00,27.61076556694045,,
2026-08-24 11:00:00,33,2026-08-25 20:00:00,27.31726327927679,,
2026-08-24 11:00:00,34,2026-08-25 21:00:00,27.037100566920717,,
2026-08-24 11:00:00,35,2026-08-25 22:00:00,26.693828766691407,,
2026-08-24 11:00:00,36,2026-08-25 23:00:00,26.503668058837306,,
2026-08-24 11:00:00,37,2026-08-26 00:00:00,26.142777282248304,,
2026-08-24 11:00:00,38,2026-08-26 01:00:00,25.957949896680745,,
2026-08-24 11:00:00,39,2026-08-26 02:00:00,25.72809710319905,,
2026-08-24 11:00:00,40,2026-08-26 03:00:00,25.36904411603296,,
2026-08-24 11:00:00,41,2026-08-26 04:00:00,25.132268040483623,,
2026-08-24 11:00:00,42,2026-08-26 05:00:00,24.9383402370861,,
2026-08-24 11:00:00,43,2026-08-26 06:00:00,24.90126660536846,,
2026-08-24 11:00:00,44,2026-08-26 07:00:00,26.142616445169633,,
2026-08-24 11:00:00,45,2026-08-26 08:00:00,28.358273372045534,,
2026-08-24 11:00:00,46,2026-08-26 09:00:00,29.904985494981396,,
2026-08-24 11:00:00,47,2026-08-26 10:00:00,31.419185218728742,,
2026-08-24 11:00:00,48,2026-08-26 11:00:00,32.46956156901756,,
2026-08-24 11:00:00,49,2026-08-26 12:00:00,32.676840473668946,,
2026-08-24 11:00:00,50,2026-08-26 13:00:00,32.57054605928769,,
2026-08-24 11:00:00,51,2026-08-26 14:00:00,31.9412568450553,,
2026-08-24 11:00:00,52,2026-08-26 15:00:00,31.678280896319773,,
2026-08-24 11:00:00,53,2026-08-26 16:00:00,30.55233950787091,,
2026-08-24 11:00:00,54,2026-08-26 17:00:00,29.72184846804656,,
2026-08-24 11:00:00,55,2026-08-26 18:00:00,29.02149260996025,,
2026-08-24 11:00:00,56,2026-08-26 19:00:00,28.432487976477635,,
2026-08-24 11:00:00,57,2026-08-26 20:00:00,27.956433335035122,,
2026-08-24 11:00:00,58,2026-08-26 21:00:00,27.477620002880503,,
2026-08-24 11:00:00,59,2026-08-26 22:00:00,27.02971477368889,,
2026-08-24 11:00:00,60,2026-08-26 23:00:00,26.604677527243233,,
2026-08-24 11:00:00,61,2026-08-27 00:00:00,26.35570842722975,,
2026-08-24 11:00:00,62,2026-08-27 01:00:00,26.206765576789728,,
2026-08-24 11:00:00,63,2026-08-27 02:00:00,25.940190288132765,,
2026-08-24 11:00:00,64,2026-08-27 03:00:00,25.581137300966674,,
2026-08-24 11:00:00,65,2026-08-27 04:00:00,25.29767185751552,,
2026-08-24 11:00:00,66,2026-08-27 05:00:00,25.103744054117996,,
