kitchen_stations,arrival_rate,mean_seconds,p99_seconds,sla_pct
3,280,70467.00252065454,86664.90633688192,0.0
4,280,50057.459385162496,67360.7332955281,0.0
5,280,33105.31707861705,49025.77941742466,0.0
6,280,20118.528109736213,30484.53512764465,0.0
7,280,6234.847072709571,12771.709947042013,0.0
8,280,312.5711460295676,886.3365369276623,94.39663718919776
9,280,238.78314450847014,487.17004113875294,99.93813610057872
10,280,239.98717306404043,520.8911083327725,99.77268195413758
