customer_id,scenario,arrival_clock,arrival_hour,items,order_queue_wait_seconds,ordering_time_seconds,kitchen_queue_wait_seconds,food_prep_time_seconds,queue_wait_seconds,total_time_seconds,completion_clock
1,Human Cashier,07:07:46,7.13,2,0.0,66.38557601991755,0.0,68.15162718508877,0.0,134.53720320500628,07:10:01
2,Human Cashier,07:08:11,7.14,2,0.0,86.00155866905133,0.0,115.47706583045101,0.0,201.47862449950236,07:11:32
3,Human Cashier,07:09:18,7.15,3,0.0,44.466547135842866,0.0,93.04192722039728,0.0,137.50847435624019,07:11:35
4,Human Cashier,07:10:17,7.17,2,0.0,50.854395486608524,0.0,63.564547479531356,0.0,114.41894296613987,07:12:11
5,Human Cashier,07:11:56,7.2,2,0.0,29.020229323884507,0.0,52.11295905001175,0.0,81.13318837389636,07:13:17
6,Human Cashier,07:12:28,7.21,2,0.0,55.6785168487509,0.0,96.02441941648102,0.0,151.70293626523187,07:14:59
7,Human Cashier,07:13:39,7.23,3,0.0,30.029674593750947,0.0,124.78569318465816,0.0,154.81536777840915,07:16:13
8,Human Cashier,07:17:58,7.3,5,0.0,72.89024460458329,0.0,176.22056254561673,0.0,249.11080715020012,07:22:07
9,Human Cashier,07:19:02,7.32,5,0.0,88.29392354018972,0.0,111.94124582255961,0.0,200.23516936274928,07:22:23
10,Human Cashier,07:22:16,7.37,2,0.0,41.529895553748894,0.0,67.59069550972842,0.0,109.12059106347738,07:24:06
11,Human Cashier,07:25:09,7.42,4,0.0,75.38475514484449,0.0,84.21268371458204,0.0,159.59743885942657,07:27:48
12,Human Cashier,07:27:19,7.46,3,0.0,35.717504068589385,0.0,88.4105692816865,0.0,124.12807335027583,07:29:23
13,Human Cashier,07:27:20,7.46,4,0.0,85.50251950871254,0.0,102.07400049392407,0.0,187.5765200026367,07:30:28
14,Human Cashier,07:30:37,7.51,2,0.0,39.515553575015794,0.0,81.71871233039106,0.0,121.2342659054068,07:32:38
15,Human Cashier,07:33:21,7.56,2,0.0,64.40759376431339,0.0,66.43492799298612,0.0,130.84252175729944,07:35:32
16,Human Cashier,07:35:44,7.6,3,0.0,51.352274616060555,0.0,105.52984460148761,0.0,156.88211921754828,07:38:21
17,Human Cashier,07:36:10,7.6,3,0.0,61.40267425069215,0.0,65.81971441723266,0.0,127.22238866792486,07:38:17
18,Human Cashier,07:40:17,7.67,2,0.0,48.002878650410565,0.0,74.40162878089951,0.0,122.40450743130987,07:42:19
19,Human Cashier,07:43:31,7.73,3,0.0,63.148414817171826,0.0,103.56692455733246,0.0,166.7153393745043,07:46:18
20,Human Cashier,07:55:38,7.93,2,0.0,55.59119792606056,0.0,47.251663041057014,0.0,102.8428609671173,07:57:21
21,Human Cashier,07:55:40,7.93,1,0.0,56.77774588245399,0.0,54.81820625700945,0.0,111.5959521394634,07:57:32
22,Human Cashier,07:56:26,7.94,4,7.359737021288765,66.19830582934014,0.0,132.2432038649154,7.359737021288765,205.8012467155445,07:59:52
23,Human Cashier,07:59:30,7.99,4,0.0,77.61970568754877,0.0,108.05141647317623,0.0,185.6711221607252,08:02:36
24,Human Cashier,08:02:32,8.04,4,0.0,86.31319903927647,0.0,131.61297125583727,0.0,217.92617029511393,08:06:10
25,Human Cashier,08:06:22,8.11,3,0.0,46.626887308635645,0.0,70.82013255224192,0.0,117.44701986087739,08:08:19
26,Human Cashier,08:08:43,8.15,5,0.0,72.09763249516163,0.0,161.48734291628284,0.0,233.58497541144425,08:12:37
27,Human Cashier,08:10:07,8.17,1,0.0,47.57877231064198,0.0,83.03000076233326,0.0,130.60877307297596,08:12:18
28,Human Cashier,08:14:38,8.24,3,0.0,48.26573593228597,0.0,108.39939497866271,0.0,156.6651309109484,08:17:15
29,Human Cashier,08:19:22,8.32,3,0.0,43.21468538527965,0.0,57.82824681320815,0.0,101.04293219848842,08:21:03
30,Human Cashier,08:22:04,8.37,3,0.0,53.26808972207248,0.0,118.1342713952498,0.0,171.40236111732247,08:24:55
31,Human Cashier,08:22:34,8.38,5,0.0,97.9048769964301,0.0,151.7251261812077,0.0,249.63000317763817,08:26:44
32,Human Cashier,08:25:10,8.42,2,0.0,59.6115256868144,0.0,42.68872016516699,0.0,102.30024585198134,08:26:52
33,Human Cashier,08:29:45,8.5,2,0.0,30.653860354038862,0.0,72.07300176221526,0.0,102.72686211625387,08:31:27
34,Human Cashier,08:30:34,8.51,2,0.0,54.473391650289976,0.0,138.18328124372337,0.0,192.65667289401335,08:33:46
35,Human Cashier,08:31:28,8.52,1,0.0,46.360680268385074,0.0,76.2817299454658,0.0,122.64241021385078,08:33:31
36,Human Cashier,08:39:08,8.65,2,0.0,45.20051192168133,0.0,83.71487471329125,0.0,128.9153866349725,08:41:17
37,Human Cashier,08:39:48,8.66,1,0.0,40.505135333442965,0.0,44.93503390075083,0.0,85.44016923419349,08:41:13
38,Human Cashier,08:40:09,8.67,3,0.0,52.98253756833557,0.0,91.06148427072931,0.0,144.04402183906495,08:42:33
39,Human Cashier,08:41:25,8.69,2,0.0,41.73176738044148,0.0,104.36125857596461,0.0,146.09302595640656,08:43:51
40,Human Cashier,08:43:41,8.73,2,0.0,46.459993490494035,0.0,99.71897262612826,0.0,146.17896611662218,08:46:07
41,Human Cashier,08:47:42,8.8,1,0.0,33.68210572226161,0.0,38.671146112125165,0.0,72.35325183438636,08:48:55
42,Human Cashier,08:48:57,8.82,3,0.0,60.3770595535429,0.0,172.44539254352372,0.0,232.82245209706616,08:52:49
43,Human Cashier,08:50:33,8.84,4,0.0,72.42125980923055,0.0,143.10391951030752,0.0,215.52517931953844,08:54:09
44,Human Cashier,08:58:15,8.97,5,0.0,80.71733959701146,0.0,68.63381843315143,0.0,149.35115803016288,09:00:44
45,Human Cashier,08:59:06,8.98,2,0.0,67.28742297056426,0.0,106.17060936669169,0.0,173.45803233725564,09:01:59
46,Human Cashier,09:02:26,9.04,3,0.0,78.05933189002302,0.0,74.99180616059506,0.0,153.05113805061774,09:04:59
47,Human Cashier,09:06:19,9.11,4,0.0,44.06563030634419,0.0,132.02087935933147,0.0,176.0865096656753,09:09:15
48,Human Cashier,09:10:33,9.18,1,0.0,42.01606521151106,0.0,95.33715607359174,0.0,137.35322128510234,09:12:51
49,Human Cashier,09:16:44,9.28,3,0.0,71.62007216292018,0.0,90.9425584434213,0.0,162.56263060634046,09:19:26
50,Human Cashier,09:18:51,9.31,2,0.0,54.1019600120011,0.0,67.38449074429833,0.0,121.48645075629975,09:20:52
51,Human Cashier,09:21:15,9.35,2,0.0,34.99671187882883,0.0,112.43183205399365,0.0,147.4285439328214,09:23:42
52,Human Cashier,09:23:29,9.39,4,0.0,92.10473580827482,0.0,111.42245346556598,0.0,203.52718927384012,09:26:53
53,Human Cashier,09:25:07,9.42,4,0.0,69.83356459524184,0.0,49.244920053189155,0.0,119.07848464842937,09:27:06
54,Human Cashier,09:28:53,9.48,3,0.0,63.89181023599981,0.0,102.00596121932158,0.0,165.89777145532207,09:31:39
55,Human Cashier,09:32:21,9.54,4,0.0,75.72106069340563,0.0,104.31659567715982,0.0,180.03765637056495,09:35:21
56,Human Cashier,09:32:38,9.54,3,0.0,87.06246396607901,0.0,149.86161827456826,0.0,236.92408224064638,09:36:35
57,Human Cashier,09:35:08,9.59,2,0.0,53.133441226689776,0.0,48.20292563471995,0.0,101.33636686140926,09:36:49
