origin,horizon_h,timestamp,predicted_actual,actual,residual
2026-08-24 11:00:00,1,2026-08-24 12:00:00,29.103795753497703,,
2026-08-24 11:00:00,2,2026-08-24 13:00:00,29.11964426513,,
2026-08-24 11:00:00,3,2026-08-24 14:00:00,29.062536373200658,,
2026-08-24 11:00:00,4,2026-08-24 15:00:00,28.52141981183496,,
2026-08-24 11:00:00,5,2026-08-24 16:00:00,27.61614478671836,,
2026-08-24 11:00:00,6,2026-08-24 17:00:00,26.434648898325005,,
2026-08-24 11:00:00,7,2026-08-24 18:00:00,24.107035193068334,,
2026-08-24 11:00:00,8,2026-08-24 19:00:00,23.176295642990056,,
2026-08-24 11:00:00,9,2026-08-24 20:00:00,22.781940879830223,,
2026-08-24 11:00:00,10,2026-08-24 21:00:00,22.405547293631326,,
2026-08-24 11:00:00,11,2026-08-24 22:00:00,21.841999777289743,,
2026-08-24 11:00:00,12,2026-08-24 23:00:00,21.582710890346753,,
2026-08-24 11:00:00,13,2026-08-25 00:00:00,20.360221685521427,,
2026-08-24 11:00:00,14,2026-08-25 01:00:00,20.069043849245624,,
2026-08-24 11:00:00,15,2026-08-25 02:00:00,19.743560189909985,,
2026-08-24 11:00:00,16,2026-08-25 03:00:00,19.620130743092485,,
2026-08-24 11:00:00,17,2026-08-25 04:00:00,19.267577360026394,,
2026-08-24 11:00:00,18,2026-08-25 05:00:00,18.98242152980332,,
2026-08-24 11:00:00,19,2026-08-25 06:00:00,18.866310849785986,,
2026-08-24 11:00:00,20,2026-08-25 07:00:00,20.314187752616746,,
2026-08-24 11:00:00,21,2026-08-25 08:00:00,22.783450281086875,,
2026-08-24 11:00:00,22,2026-08-25 09:00:00,24.99927664087712,,
2026-08-24 11:00:00,23,2026-08-25 10:00:00,27.336273899260757,,
2026-08-24 11:00:00,24,2026-08-25 11:00:00,28.72175531082608,,
2026-08-24 11:00:00,25,2026-08-25 12:00:00,29.287124325677155,,
2026-08-24 11:00:00,26,2026-08-25 13:00:00,29.30297283730945,,
