origin,horizon_h,timestamp,predicted_actual,actual,residual
2026-08-24 11:00:00,1,2026-08-24 12:00:00,30.668249991390116,,
2026-08-24 11:00:00,2,2026-08-24 13:00:00,30.686553834216856,,
2026-08-24 11:00:00,3,2026-08-24 14:00:00,30.591089641900147,,
2026-08-24 11:00:00,4,2026-08-24 15:00:00,30.372495308050233,,
2026-08-24 11:00:00,5,2026-08-24 16:00:00,29.431422777007068,,
2026-08-24 11:00:00,6,2026-08-24 17:00:00,28.729949349715763,,
2026-08-24 11:00:00,7,2026-08-24 18:00:00,28.335591044374073,,
2026-08-24 11:00:00,8,2026-08-24 19:00:00,28.155866501530976,,
2026-08-24 11:00:00,9,2026-08-24 20:00:00,28.098579407924497,,
2026-08-24 11:00:00,10,2026-08-24 21:00:00,27.815006826830682,,
2026-08-24 11:00:00,11,2026-08-24 22:00:00,27.459903822784305,,
2026-08-24 11:00:00,12,2026-08-24 23:00:00,26.997399516785645,,
2026-08-24 11:00:00,13,2026-08-25 00:00:00,26.512485937854315,,
2026-08-24 11:00:00,14,2026-08-25 01:00:00,26.124078245501046,,
2026-08-24 11:00:00,15,2026-08-25 02:00:00,25.556608129620614,,
2026-08-24 11:00:00,16,2026-08-25 03:00:00,24.986614852881004,,
2026-08-24 11:00:00,17,2026-08-25 04:00:00,24.862634802608255,,
2026-08-24 11:00:00,18,2026-08-25 05:00:00,24.731766344987523,,
2026-08-24 11:00:00,19,2026-08-25 06:00:00,24.761558867793994,,
2026-08-24 11:00:00,20,2026-08-25 07:00:00,26.38904763010617,,
2026-08-24 11:00:00,21,2026-08-25 08:00:00,28.35243976977082,,
2026-08-24 11:00:00,22,2026-08-25 09:00:00,29.345794683992224,,
2026-08-24 11:00:00,23,2026-08-25 10:00:00,30.354036622219123,,
2026-08-24 11:00:00,24,2026-08-25 11:00:00,30.734830920570943,,
2026-08-24 11:00:00,25,2026-08-25 12:00:00,30.914745309370385,,
2026-08-24 11:00:00,26,2026-08-25 13:00:00,30.933645694753604,,
2026-08-24 11:00:00,27,2026-08-25 14:00:00,30.980780594100313,,
2026-08-24 11:00:00,28,2026-08-25 15:00:00,30.756111324507714,,
2026-08-24 11:00:00,29,2026-08-25 16:00:00,29.72353460948472,,
2026-08-24 11:00:00,30,2026-08-25 17:00:00,29.106564371988657,,
2026-08-24 11:00:00,31,2026-08-25 18:00:00,28.644910102141722,,
2026-08-24 11:00:00,32,2026-08-25 19:00:00,28.470494812561615,,
2026-08-24 11:00:00,33,2026-08-25 20:00:00,28.324982606149366,,
2026-08-24 11:00:00,34,2026-08-25 21:00:00,27.97254797818081,,
2026-08-24 11:00:00,35,2026-08-25 22:00:00,27.58120508696969,,
2026-08-24 11:00:00,36,2026-08-25 23:00:00,27.11057910931931,,
2026-08-24 11:00:00,37,2026-08-26 00:00:00,26.70515323081498,,
2026-08-24 11:00:00,38,2026-08-26 01:00:00,26.322269292799323,,
2026-08-24 11:00:00,39,2026-08-26 02:00:00,25.800557950844894,,
2026-08-24 11:00:00,40,2026-08-26 03:00:00,25.268189123420772,,
2026-08-24 11:00:00,41,2026-08-26 04:00:00,24.991825157861708,,
2026-08-24 11:00:00,42,2026-08-26 05:00:00,24.858133556574263,,
2026-08-24 11:00:00,43,2026-08-26 06:00:00,24.889902814633786,,
2026-08-24 11:00:00,44,2026-08-26 07:00:00,26.9584730932935,,
2026-08-24 11:00:00,45,2026-08-26 08:00:00,28.79318641599654,,
2026-08-24 11:00:00,46,2026-08-26 09:00:00,29.65786774249113,,
2026-08-24 11:00:00,47,2026-08-26 10:00:00,30.59367158620935,,
2026-08-24 11:00:00,48,2026-08-26 11:00:00,30.92430658199335,,
2026-08-24 11:00:00,49,2026-08-26 12:00:00,31.07045436606875,,
2026-08-24 11:00:00,50,2026-08-26 13:00:00,31.089354751451967,,
2026-08-24 11:00:00,51,2026-08-26 14:00:00,31.11411235354327,,
2026-08-24 11:00:00,52,2026-08-26 15:00:00,30.907941565321313,,
2026-08-24 11:00:00,53,2026-08-26 16:00:00,29.908260227642142,,
2026-08-24 11:00:00,54,2026-08-26 17:00:00,29.231029960473194,,
2026-08-24 11:00:00,55,2026-08-26 18:00:00,28.773740122972626,,
2026-08-24 11:00:00,56,2026-08-26 19:00:00,28.60748338245824,,
2026-08-24 11:00:00,57,2026-08-26 20:00:00,28.4795616634259,,
2026-08-24 11:00:00,58,2026-08-26 21:00:00,28.16445926235984,,
2026-08-24 11:00:00,59,2026-08-26 22:00:00,27.792208481377152,,
