horizon_day,n,mae,rmse,r2
1,768,0.8973803609794299,1.192650384948938,0.7600570081873028
2,768,0.8772585933700624,1.1489987892652027,0.7702440523290217
3,768,0.8792122924966694,1.1553905156130397,0.7704332550419308
4,768,0.848151104593788,1.1096240838045863,0.7853464697811918
5,768,0.863627236017944,1.1309367762480438,0.7777576047043013
6,768,0.882335209362966,1.1568557680984524,0.7730913484338122
7,755,0.8787942187186922,1.162295496206781,0.7685089953388943
8,731,0.8768951222084516,1.163356851033518,0.7701839586405465
9,707,0.8744764688776285,1.159831489222191,0.7750925634965837
10,683,0.8727129785269316,1.1575329392155214,0.7797748744281626
11,659,0.8767850992240426,1.1660362479836164,0.7791115407740026
12,635,0.8720461528823894,1.1651148392772162,0.7798405583583045
13,611,0.8856121132664868,1.1778983314525104,0.7783400213299021
14,587,0.8709729253207604,1.15512028808987,0.7865590447161774
